,Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
1,All modes,All undergraduates,CAH1,CAH04,Psychology,Q01: How good are teaching staff at explaining things?,30,30,,20,10,0,0,,0,100,93.1,6.9,3.7,1.1,0.6,11.2,88.2,30,100
2,All modes,All undergraduates,CAH1,CAH04,Psychology,Q02: How often do teaching staff make the subject engaging?,30,30,,18,11,1,0,,0,96.7,78.8,17.8,6.1,1.1,0,0.5,99.4,30,100
3,All modes,All undergraduates,CAH1,CAH04,Psychology,Q03: How often is the course intellectually stimulating?,30,30,,19,11,0,0,,0,100,84.9,15.1,4.7,1.1,0,0.3,99.6,30,100
4,All modes,All undergraduates,CAH1,CAH04,Psychology,Q04: How often does your course challenge you to achieve your best work?,30,30,,20,10,0,0,,0,100,79.6,20.4,5.1,1.1,0,0,100,30,100
5,All modes,All undergraduates,CAH1,CAH04,Psychology,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,30,30,,21,8,1,0,,0,96.7,81.4,15.3,5.7,1.1,0.1,1.2,98.8,30,100
6,All modes,All undergraduates,CAH1,CAH04,Psychology,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,30,30,,21,8,1,0,,0,96.7,85,11.6,5.2,1.1,0.3,3.5,96.2,30,100
7,All modes,All undergraduates,CAH1,CAH04,Psychology,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,30,30,,25,5,0,0,,0,100,81.9,18.1,5.5,1.1,0,0.2,99.8,30,100
8,All modes,All undergraduates,CAH1,CAH04,Psychology,Q08: To what extent does your course have the right balance of directed and independent study?,30,30,,18,9,3,0,,0,90,77,13,6.9,1.1,1.2,5.2,93.6,30,100
9,All modes,All undergraduates,CAH1,CAH04,Psychology,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,30,30,,18,11,1,0,,0,96.7,77.8,18.9,5.8,1.1,0,0.2,99.8,30,100
10,All modes,All undergraduates,CAH1,CAH04,Psychology,Q10: How clear were the marking criteria used to assess your work?,30,30,,10,16,4,0,,0,86.7,72.8,13.8,7,1.1,1,4.4,94.6,30,100
11,All modes,All undergraduates,CAH1,CAH04,Psychology,Q11: How fair has the marking and assessment been on your course?,30,30,,9,18,3,0,,0,90,75.9,14.1,6.6,1.1,0.6,3.3,96.1,30,100
12,All modes,All undergraduates,CAH1,CAH04,Psychology,Q12: How well have assessments allowed you to demonstrate what you have learned?,30,30,,13,15,2,0,,0,93.3,76.5,16.8,6.4,1.1,0.1,1.1,98.8,30,100
13,All modes,All undergraduates,CAH1,CAH04,Psychology,Q13: How often have you received assessment feedback on time?,30,30,,10,14,5,1,,0,80,80.5,-0.5,7,1.1,39,27.8,33.2,30,100
14,All modes,All undergraduates,CAH1,CAH04,Psychology,Q14: How often does feedback help you to improve your work?,30,30,,14,15,1,0,,0,96.7,66.1,30.6,6.8,1.1,0,0,100,30,100
15,All modes,All undergraduates,CAH1,CAH04,Psychology,Q15: How easy was it to contact teaching staff when you needed to?,30,30,,21,9,0,0,,0,100,84.7,15.3,5.2,1.1,0,0.7,99.3,30,100
16,All modes,All undergraduates,CAH1,CAH04,Psychology,Q16: How well have teaching staff supported your learning?,30,30,,20,10,0,0,,0,100,84.3,15.7,5.4,1.1,0,0.7,99.3,30,100
17,All modes,All undergraduates,CAH1,CAH04,Psychology,Q17: How well organised is your course?,30,30,,11,18,1,0,,0,96.7,79.4,17.3,5.8,1.1,0,0.5,99.4,30,100
18,All modes,All undergraduates,CAH1,CAH04,Psychology,Q18: How well were any changes to teaching on your course communicated?,30,30,,15,14,1,0,,0,96.7,80.3,16.4,6.1,1.1,0.1,1.1,98.8,30,100
19,All modes,All undergraduates,CAH1,CAH04,Psychology,Q19: How well have the IT resources and facilities supported your learning?,28,30,,16,10,2,0,,2,92.9,86.4,6.5,5.7,1.1,5.6,18.5,75.8,30,100
20,All modes,All undergraduates,CAH1,CAH04,Psychology,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",28,30,,14,12,2,0,,2,92.9,91.5,1.4,4.9,1,21.7,37.5,40.8,30,100
21,All modes,All undergraduates,CAH1,CAH04,Psychology,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",29,30,,16,12,1,0,,1,96.6,89.7,6.8,5,1.1,3.1,16.3,80.7,30,100
22,All modes,All undergraduates,CAH1,CAH04,Psychology,Q22: To what extent do you get the right opportunities to give feedback on your course?,30,30,,25,5,0,0,,0,100,84.6,15.4,5.4,1.1,0,0.8,99.1,30,100
